sender,receiver,receiver_2,event_day,rec_pub_day,rec_pub_year,rec_pub_day_2,rec_pub_year_2,lag,lag_2,jac_sim,jac_sim_2,cumu_cit_rec,cumu_cit_rec_2,rec_outd,rec_outd_2,tfe,tfe_2,sim,sim_2
4620083,4379964,4518406,3953,2658,1983,3428,1985,1295,525,1.0,0.0,11,1.0,4,3,63,525.0,0.6564714908599854,0.23958317935466766
4619651,4121585,4325106,3953,1027,1978,2294,1982,2926,1659,1.0,0.0,5,1.0,1,2,126,1659.0,0.40012127161026,0.21135205030441284
4621255,4268820,4036810,3960,1965,1981,565,1977,1995,3395,1.0,0.0,3,1.0,1,1,7,3395.0,0.5254202485084534,0.11462865024805069
4626455,4111349,4471363,3988,978,1978,3176,1984,3010,812,0.5,0.0,7,2.0,2,9,217,7.0,0.47426319122314453,0.1663466840982437
4632528,4019813,4272388,4016,481,1977,1986,1981,3535,2030,0.5,0.0,6,1.0,1,2,133,2030.0,0.5472361445426941,0.09734921902418137
4632848,4366275,4365528,4016,2553,1982,2553,1982,1463,1463,0.3333333333333333,0.0,1,2.0,1,3,1463,896.0,0.4020463526248932,0.14155469834804535
4635868,4097726,3975059,4030,908,1978,229,1976,3122,3801,0.5,0.0,7,3.0,1,1,1204,1169.0,0.5626391768455505,0.24566875398159027
4637012,4534027,4193461,4030,3505,1985,1538,1980,525,2492,0.5,0.0,2,7.0,5,2,0,56.0,0.4261012375354767,0.051796332001686096
4638182,4499387,4243235,4037,3330,1985,1832,1981,707,2205,1.0,0.0,5,4.0,6,4,42,7.0,0.5103715658187866,0.13205832242965698
4639093,4222638,4013929,4044,1720,1980,446,1977,2324,3598,1.0,0.0,9,7.0,1,2,14,308.0,0.33831220865249634,0.3284331262111664
4641950,4469430,4170550,4058,3169,1984,1377,1979,889,2681,1.0,0.0,1,3.0,4,4,889,140.0,0.535073459148407,0.1096029132604599
4646171,4463387,4055797,4072,3134,1984,663,1977,938,3409,1.0,0.0,6,2.0,1,1,21,756.0,0.5066176056861877,0.2998783588409424
4647223,4251813,4569328,4079,1874,1981,3694,1986,2205,385,0.0,0.0,2,1.0,1,1,1323,385.0,0.26229044795036316,0.1696154922246933
4655575,4429980,4463288,4114,2959,1984,3134,1984,1155,980,1.0,0.0,3,1.0,9,1,616,980.0,0.5465087294578552,0.17119400203227997
4656825,4117656,4052677,4121,1006,1978,642,1977,3115,3479,0.5,0.0,3,2.0,2,1,378,987.0,0.4448326826095581,0.11034610122442245
4661899,4591989,4469079,4135,3799,1986,3169,1984,336,966,0.5,0.0,1,1.0,6,1,336,966.0,0.48382019996643066,0.23415571451187134
4664114,4340046,4219326,4149,2392,1982,1699,1980,1757,2450,1.0,0.0,7,1.0,2,1,126,2450.0,0.36491280794143677,0.30214211344718933
4664652,4372921,4595449,4149,2595,1983,3820,1986,1554,329,0.5,0.0,3,1.0,3,2,231,329.0,0.24749097228050232,0.2972581088542938
4669116,4464746,4315343,4163,3141,1984,2238,1982,1022,1925,1.0,0.0,4,1.0,3,2,203,1925.0,0.47628533840179443,0.17987796664237976
4668559,4421812,4244785,4163,2910,1983,1839,1981,1253,2324,1.0,0.0,1,1.0,1,3,1253,2324.0,0.26710426807403564,0.14291997253894806
4677514,4106173,4435983,4198,957,1978,2994,1984,3241,1204,1.0,0.0,1,2.0,2,2,3241,924.0,0.7027634978294373,0.18953433632850647
4678814,4622362,4381810,4205,3967,1986,2679,1983,238,1526,1.0,0.0,1,4.0,2,2,238,336.0,1.0000001192092896,0.03788250312209129
4681142,4341241,4396387,4219,2399,1982,2770,1983,1820,1449,1.0,0.0,5,2.0,7,2,154,574.0,0.3364075720310211,0.11562127619981766
4684607,4414306,4165536,4233,2868,1983,1328,1979,1365,2905,1.0,0.0,6,2.0,5,3,84,1960.0,0.49320489168167114,0.3489151895046234
4687775,4255431,4287847,4247,1895,1981,2077,1981,2352,2170,1.0,0.0,10,1.0,3,1,217,2170.0,0.39072269201278687,0.16758763790130615
4691245,4188638,4156845,4261,1503,1980,1244,1979,2758,3017,1.0,0.0,6,5.0,1,1,644,826.0,0.6281641721725464,0.27719780802726746
4699143,4431000,4007155,4303,2966,1984,404,1977,1337,3899,1.0,0.0,7,3.0,5,1,42,455.0,0.39608606696128845,0.138568714261055
4708460,4095886,4137221,4345,901,1978,1125,1979,3444,3220,1.0,0.0,9,4.0,1,1,525,2086.0,0.3460361957550049,0.19549235701560974
4710307,4104178,4463288,4352,943,1978,3134,1984,3409,1218,1.0,0.0,2,2.0,3,1,2282,175.0,0.3593272268772125,0.059740014374256134
4710388,4344971,4156905,4352,2420,1982,1244,1979,1932,3108,1.0,0.0,3,10.0,3,1,182,119.0,0.41314050555229187,0.120113804936409
4710181,4451256,4358099,4352,3071,1984,2504,1982,1281,1848,1.0,0.0,7,1.0,3,2,49,1848.0,0.6730502247810364,0.15822556614875793
4712903,4349255,4160625,4366,2448,1982,1286,1979,1918,3080,1.0,0.0,3,4.0,1,2,889,84.0,0.5395612716674805,0.07024086266756058
4714400,4422027,4404869,4373,2910,1983,2819,1983,1463,1554,0.0,0.0,5,4.0,5,6,105,14.0,0.45444729924201965,0.37701308727264404
4723068,4542283,4579588,4415,3547,1985,3743,1986,868,672,1.0,0.0,1,1.0,2,7,868,672.0,0.39536869525909424,0.19902077317237854
4722651,4298301,4094107,4415,2133,1981,894,1978,2282,3521,0.0,0.0,5,1.0,2,1,168,3521.0,0.5090059638023376,0.37306201457977295
4723221,4563094,4623013,4415,3659,1986,3974,1986,756,441,1.0,0.0,3,1.0,4,3,273,441.0,0.43542736768722534,0.26001954078674316
4724988,4149687,4438238,4429,1202,1979,3001,1984,3227,1428,1.0,0.0,8,10.0,2,3,1134,98.0,0.5839864611625671,0.11513310670852661
